"idade_local" "biome"
"2424" 1.46759655678 "Temperate"
"2425" 2.60963092358 "Temperate"
"2426" 2.60963092358 "Temperate"
"2427" 2.60963092358 "Temperate"
"2428" 1.08691843451334 "Temperate"
"2429" 1.08691843451334 "Temperate"
"2430" 1.08691843451334 "Temperate"
"2431" 1.08691843451334 "Temperate"
"2432" 1.08691843451334 "Temperate"
"2433" 1.08691843451334 "Temperate"
"2434" NA "Temperate"
"2435" 1.07216965515 "Temperate"
"2436" NA "Temperate"
"2437" NA "Temperate"
"2438" NA "Temperate"
"2439" NA "Temperate"
"2440" NA "Temperate"
"2441" NA "Temperate"
"2442" NA "Temperate"
"2443" NA "Temperate"
"2444" NA "Temperate"
"2445" NA "Temperate"
"2446" NA "Temperate"
"2447" NA "Temperate"
"2448" NA "Temperate"
"2449" NA "Temperate"
"2450" NA "Temperate"
"2451" NA "Temperate"
"2452" NA "Temperate"
"2453" NA "Temperate"
"2454" NA "Temperate"
"2455" NA "Temperate"
"2456" NA "Temperate"
"2457" NA "Temperate"
"2458" NA "Temperate"
"2459" NA "Temperate"
"2460" NA "Temperate"
"2461" NA "Temperate"
"2462" NA "Temperate"
"2463" NA "Temperate"
"2464" NA "Temperate"
"2465" NA "Temperate"
"2466" NA "Temperate"
"2467" NA "Temperate"
"2468" NA "Temperate"
"2469" NA "Temperate"
"2470" NA "Temperate"
"2471" NA "Temperate"
"2472" NA "Temperate"
"2473" NA "Temperate"
"2474" NA "Temperate"
"2475" NA "Temperate"
"2476" NA "Temperate"
"2477" NA "Temperate"
"2478" NA "Temperate"
"2479" NA "Temperate"
"2480" NA "Temperate"
"2481" NA "Temperate"
"2482" NA "Temperate"
"2483" NA "Temperate"
"2484" NA "Temperate"
"2485" NA "Temperate"
"2486" NA "Temperate"
"2487" NA "Temperate"
"2488" NA "Temperate"
"2489" NA "Temperate"
"2490" NA "Temperate"
"2491" NA "Temperate"
"2492" NA "Temperate"
"2493" NA "Temperate"
"2494" 1.46759655678 "Temperate"
"2495" NA "Temperate"
"2496" NA "Temperate"
"2497" 1.46759655678 "Temperate"
"2498" 2.60963092358 "Temperate"
"2499" 1.08691843451334 "Temperate"
"2500" 1.08691843451334 "Temperate"
"2501" 1.08691843451334 "Temperate"
"2502" 1.08691843451334 "Temperate"
"2503" 1.08691843451334 "Temperate"
"2504" 1.08691843451334 "Temperate"
"2505" 1.08691843451334 "Temperate"
"2506" 1.46759655678 "Temperate"
"2507" 1.07216965515 "Temperate"
"2508" 1.07216965515 "Temperate"
"2509" 1.07216965515 "Temperate"
"2510" 1.07216965515 "Temperate"
"2511" NA "Temperate"
"2512" NA "Temperate"
"2513" NA "Temperate"
"2514" NA "Temperate"
"2515" NA "Temperate"
"2516" NA "Temperate"
"2517" NA "Temperate"
"2518" NA "Temperate"
"2519" NA "Temperate"
"2520" NA "Temperate"
"2521" NA "Temperate"
"2522" NA "Temperate"
"2523" NA "Temperate"
"2524" NA "Temperate"
"2525" NA "Temperate"
"2526" NA "Temperate"
"2527" NA "Temperate"
"2528" NA "Temperate"
"2529" NA "Temperate"
"2530" NA "Temperate"
"2531" NA "Temperate"
"2532" NA "Temperate"
"2533" NA "Temperate"
"2534" NA "Temperate"
